"date","koloda","status","foto_out","pro_foto_out","foto_in","pro_foto_in","info","plan","date_plan"
"23.08.2025 17:54:18","1 _33 _Лухский _gse","пчелы","file:///data/user/0/com.luckydroid.droidbase/files/files/1824162211/sergeyomlevo 2025-08-23 18.01.39.jpg","Хорошо работает медогонка","file:///data/user/0/com.luckydroid.droidbase/files/files/1824162211/sergeyomlevo 2025-08-25 13.57.05.jpg","Всё очень красиво","Вот примерно такая таблица получится","",""
"23.08.2025 18:38:28","2 _52 _Окский _gse","пусто","file:///data/user/0/com.luckydroid.droidbase/files/files/1824162211/sergeyomlevo 2025-08-23 18.39.03.jpg","","file:///data/user/0/com.luckydroid.droidbase/files/files/1824162211/sergeyomlevo 2025-09-03 21.48.41.jpg","","","",""
